"","Term","ProbAbstract","ProbConcrete","Classification","Jitter"
"top","top",6.22452686970759e-05,0.999937754731303,"concrete",0.5819
"avalanche","avalanche",6.32847422724431e-05,0.999936715257728,"concrete",0.52679
"ceaseless","ceaseless",6.40091549225804e-05,0.999935990845077,"concrete",0.7761
"adder","adder",6.48456049044127e-05,0.999935154395096,"concrete",0.04633
"whack","whack",6.53230361809351e-05,0.999934676963819,"concrete",0.63923
"hung","hung",6.5537763758491e-05,0.999934462236241,"concrete",0.77294
"teeth","teeth",6.81845579242826e-05,0.999931815442076,"concrete",0.14992
"curtains","curtains",6.82320026919632e-05,0.999931767997308,"concrete",0.1242
"acclamation","acclamation",6.89151441233775e-05,0.999931084855877,"concrete",0.44453
"token","token",6.9788877639678e-05,0.99993021112236,"concrete",0.29578
"pane","pane",7.01803405709056e-05,0.999929819659429,"concrete",0.6798
"salvation","salvation",7.12961565780689e-05,0.999928703843422,"concrete",0.09484
"horns","horns",7.14942119664687e-05,0.999928505788033,"concrete",0.87704
"temple","temple",7.24355654744761e-05,0.999927564434526,"concrete",0.43539
"amber","amber",7.42434670710687e-05,0.999925756532929,"concrete",0.88873
"billow","billow",7.60556411102251e-05,0.99992394435889,"concrete",0.62016
"lit","lit",7.63079314594675e-05,0.99992369206854,"concrete",0.73696
"gry","gry",7.6555928349441e-05,0.999923444071651,"concrete",0.93824
"monotone","monotone",7.7670332133854e-05,0.999922329667866,"concrete",0.37434
"bottle","bottle",7.78938419088555e-05,0.999922106158091,"concrete",0.50546
"cross","cross",7.90391096563997e-05,0.999920960890344,"concrete",0.69427
"role","role",7.92263702058521e-05,0.999920773629794,"concrete",0.5279
"flannels","flannels",7.93875681777476e-05,0.999920612431822,"concrete",0.06167
"glossy","glossy",8.14917201042335e-05,0.999918508279896,"concrete",0.13236
"sermon","sermon",8.23793840322234e-05,0.999917620615968,"concrete",0.78581
"handed","handed",8.29659405819003e-05,0.999917034059418,"concrete",0.8423
"tap","tap",8.30919801796209e-05,0.99991690801982,"concrete",0.00399
"sunset","sunset",8.48487060788114e-05,0.999915151293921,"concrete",0.26623
"circlet","circlet",8.60872943226783e-05,0.999913912705677,"concrete",0.94242
"page","page",8.62146787728649e-05,0.999913785321227,"concrete",0.65949
"milk","milk",8.64953913942635e-05,0.999913504608606,"concrete",0.60964
"square","square",8.72284042722326e-05,0.999912771595728,"concrete",0.94427
"star","star",8.7433979567194e-05,0.999912566020433,"concrete",0.6826
"pearls","pearls",8.75405107191812e-05,0.999912459489281,"concrete",0.14408
"boating","boating",8.84679355738553e-05,0.999911532064426,"concrete",0.65095
"wings","wings",8.85168819863863e-05,0.999911483118014,"concrete",0.4536
"shoulders","shoulders",8.9095584963148e-05,0.999910904415037,"concrete",0.03743
"chapter","chapter",8.95482696714767e-05,0.999910451730329,"concrete",0.75057
"work","work",9.04500783619649e-05,0.999909549921638,"concrete",0.24464
"bell","bell",9.1374156146496e-05,0.999908625843853,"concrete",0.8945
"creak","creak",9.44522268801689e-05,0.99990554777312,"concrete",0.84262
"crust","crust",9.52487935140597e-05,0.999904751206486,"concrete",0.98999
"mill","mill",9.65043718783079e-05,0.999903495628122,"concrete",0.42707
"drop","drop",0.000101362953340326,0.99989863704666,"concrete",0.69609
"coronation","coronation",0.000101592675230269,0.99989840732477,"concrete",0.97189
"tumbler","tumbler",0.000102753013823562,0.999897246986176,"concrete",0.21732
"seen","seen",0.00010354160491737,0.999896458395083,"concrete",0.45056
"cloven","cloven",0.000103905868148103,0.999896094131852,"concrete",0.90177
"gangway","gangway",0.000104166199038687,0.999895833800961,"concrete",0.49614
"rock","rock",0.00010596603526718,0.999894033964733,"concrete",0.96685
"rim","rim",0.000106319456028035,0.999893680543972,"concrete",0.42701
"lantern","lantern",0.000107068224037554,0.999892931775963,"concrete",0.24174
"eyelids","eyelids",0.000107922286971317,0.999892077713029,"concrete",0.0568
"oar","oar",0.000109040912420594,0.999890959087579,"concrete",0.45403
"fountain","fountain",0.000109058951565562,0.999890941048434,"concrete",0.94372
